document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,slug
,21858,Highland View Academy WWTP,10335 Academy Drive,"Hagerstown,MD,21740",Washington,Consent Order,COP-15-2185,2014-12-10,2015-09-17,Groundwater Discharge Permit,Municipal Minor,washington
,21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,Consent Order,CO-14-2022,2013-11-05,2018-03-09,Surface Water Discharge Permit,Municipal Minor,charles
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Stipulated Penalty,Patrick Noyes,2019-03-19,2019-06-06,Surface Water Discharge Permit,Municipal Minor,kent
,22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Penalty Settlement,"Bull, Kevin",2015-07-22,2015-10-15,Surface Water Discharge Unauthorized,Collection System (SSO),kent
,22190,A & X Steel and Aluminum Co.,2825 Annapolis Rd,"Baltimore,MD,21230",Baltimore City,"Complaint, Order, Penalty",,2013-03-19,2013-11-21,Surface Water Discharge Unauthorized,,baltimore-city
,22310,Clearview Golf & Country Club,5650 Country Club Rd,"Cambridge,MD,21613",Dorchester,Complaint & Order,,2010-06-18,2010-09-26,Surface Water Discharge Unauthorized,,dorchester
,22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,Settlement Agreement,Eisgruber,2013-01-08,2014-05-27,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,worcester
,22934,"Charlotte Hall Center, Inc. WWTP",29940 Three Notch Rd,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,Arno Laud,2014-08-13,2014-09-10,Groundwater Discharge Permit,Municipal Minor,st-marys
,22951,Allegany County Combined Sewer Overflows,11427 Upper Georges Creek Road,"Frostburg,MD,21532",Allegany,Consent Decree,01-C-00-18342L,2001-12-14,,Surface Water Discharge Unauthorized,Collection System (CSO),allegany
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-20-2646,2020-06-26,,Stormwater Management,Industrial Stormwater,baltimore-city
,23478,Town of Indian Head WWTP,1 Hailey Rd,"Indian Head,MD,20640",Charles,Penalty Settlement,Patrick Noyes,2015-12-04,2016-12-15,Surface Water Discharge Unauthorized,Collection System (SSO),charles
,23478,Town of Indian Head WWTP,1 Hailey Rd,"Indian Head,MD,20640",Charles,Penalty Settlement,PS-16-2341,2015-12-04,2016-12-15,Surface Water Discharge Unauthorized,Collection System (SSO),charles
,23481,Hancock WWTP,Hess Road (NE of Hancock),"Hancock,MD,21750",Washington,Consent Order,COP-15-2255,2015-05-15,,Surface Water Discharge Permit,Municipal Minor,washington
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Stipulated Penalty,SP-20-2645,2020-04-28,2020-05-07,Surface Water Discharge Permit,Municipal Major,carroll
,46,"Dickerson Generating Station/GenOn Mid-Atlantic, LLC",21200 Martinsburg Road,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Arno Laud,2017-07-20,2017-08-15,Surface Water Discharge Unauthorized,Industrial Major,montgomery
,167,GAF,1500 S Ponca St,"Highlandtown,MD,21224",Baltimore City,Penalty Settlement,PS-15-2226,2015-03-04,2015-03-20,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Stipulated Penalty,SP-22-2789,2022-05-02,2022-05-20,Groundwater Discharge Permit,Municipal Minor,harford
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,SAP-13-1753,2012-09-14,2012-11-02,Sediment,,prince-georges
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,"Complaint, Order, Penalty",JOP-21-2665,2020-05-28,,Surface Water Discharge Unauthorized,Industrial Major,allegany
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Penalty Settlement,Joe Bieberich,2017-04-04,2017-04-21,Surface Water Discharge Unauthorized,Collection System (SSO),washington
,1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,"Aquasco,MD,20608",Prince George's,Required Confirmation,Lenn Roberts,2020-11-02,2020-11-10,Surface Water Discharge Permit,Industrial Major,prince-georges
,2102,W. R. Grace & Co. - Davison Chemical,5500 Chemical Rd,"Curtis Bay,MD,21226-1698",Baltimore City,Penalty Settlement,PS-13-1793,2012-10-26,2012-12-01,Surface Water Discharge Permit,Industrial Major,baltimore-city
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Required Confirmation,Lenn Roberts,2015-01-28,2022-03-07,Surface Water Discharge Permit,Municipal Major,baltimore-city
,3209,William T. Burnett and Company,2112 Montevideo Road,"Jessup,MD,20794",Anne Arundel,Penalty Settlement,Arno Laud,2015-09-04,2015-09-23,Surface Water Discharge Unauthorized,Industrial Stormwater,anne-arundel
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Penalty Settlement,Patrick Noyes,2018-03-23,2018-05-15,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Major,dorchester
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,"Bull, Kevin",2015-08-26,2015-09-23,Surface Water Discharge Unauthorized,Industrial Major,baltimore
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2018-05-23,2018-06-11,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),wicomico
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2018-12-28,2019-01-14,Surface Water Discharge Unauthorized,Municipal Major,wicomico
,8220,Camp Fretterd State Army and Command Center,"13700 Hanover Pike, 5401 Rue Saint Lo Dr","Reisterstown,MD,21136",Baltimore,Penalty Settlement,,,2016-07-13,Not Applicable,Municipal Minor,baltimore
,9164,Mount Saint Mary's University,16300 Old Emmitsburg Rd,"Emmitsburg,MD,21727",Frederick,Consent Order,COP-15-2244,2015-04-27,2016-07-13,Surface Water Discharge Permit,Municipal Minor,frederick
,9680,Anne Arundel County Dept of Public Works/ Parking Lot,2644 Riva Rd,"Annapolis,MD,21401",Anne Arundel,Penalty Settlement,PS-13-1830,2013-01-18,2013-02-07,Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Stipulated Penalty,SP-23-2850,2022-11-15,2023-01-18,Surface Water Discharge Permit,Municipal Minor,carroll
,11652,Aberdeen Advanced Wastewater Treatment Plant,361 Michaels Lane,"Aberdeen,MD,21001",Harford,Consent Order,CO-12-1565,2012-01-18,2015-12-14,Surface Water Discharge Permit,Municipal Major,harford
,18299,Bohemia Manor High School WWTP,2757 Augustine Herman Hwy,"Chesapeake City,MD,21915",Cecil,Amended Consent Order,CO-12-1545,2013-01-25,2014-01-09,Surface Water Discharge Permit,Municipal Minor,cecil
,18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Stipulated Penalty,Patrick Noyes,2018-11-05,2018-11-27,Groundwater Discharge Permit,Municipal Minor,worcester
,18646,Campus Hills Shopping Center,2300-2400 Churchville Rd,"Churchville,MD,21015",Harford,Consent Order,CO-08-0717,2008-04-25,2019-01-01,Groundwater Discharge Permit,Municipal Minor,harford
,18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Penalty Settlement,"Bull, Kevin",2014-11-13,2014-12-12,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,19755,Rhode River Marina,3932 Germantown Rd,"Edgewater,MD,21037",Anne Arundel,,,,,Not Assigned,,anne-arundel
,20249,The Recycling Center,14852 Old Gunpowder Road,"Laurel,MD,20707",Prince George's,Penalty Settlement,PS-14-2038,2013-12-11,2013-12-31,Sediment;Surface Water Discharge Permit,Industrial Minor,prince-georges
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Consent Order,CWA-3-2012-0114FF,2012-09-25,2017-09-15,Surface Water Discharge Permit,Municipal Minor,harford
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Offer to Settle,,2021-07-20,2022-02-10,Surface Water Discharge Permit,Municipal Minor,harford
,20908,Conococheague WWTP,16232 Elliott Pkwy,"Williamsport,MD,21795",Washington,Consent Order,CO-12-1552,2011-12-28,2021-07-23,Surface Water Discharge Permit,Municipal Major,washington
,21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Amended Complaint & Order,CO-14-1983,2012-11-30,2013-05-02,Surface Water Discharge Permit,Municipal Minor,cecil
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Consent Order,CO-12-1402,2011-07-19,2020-09-01,Surface Water Discharge Permit,,frederick
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Penalty Settlement,"Bul, Kevin",2015-03-24,2015-03-24,Surface Water Discharge Unauthorized,Collection System (SSO),frederick
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Required Confirmation,Lenn Roberts,2019-06-06,2020-04-20,Not Assigned,,frederick
,21790,"Beechwood Coal, LLC- Klondike Mine","Hersick Road & Klondike Rd, 2 Miles West of Woodland","Midlothian,MD,21543",Garrett,,,,,Not Assigned,,garrett
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15,2010-11-15,Surface Water Discharge Permit,Municipal Minor,anne-arundel
,22065,Daniel G. Schuster Inc.- Jessup,10782 Guilford Road,"Jessup,MD,20794",Howard,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,howard
,22125,Chaney Enterprises - Seat Pleasant,45 Yost Place,"Seat Pleasant,MD,20785",Prince George's,Settlement Agreement,SA-20-2625,2019-11-15,2020-01-24,Surface Water Discharge Permit,Industrial Minor,prince-georges
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Stipulated Penalty,Julie Gowe,2013-06-10,2013-07-10,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,kent
,22178,Relax Inn WWTP,9340 Crain Hwy,"Bel Alton,MD,20611",Charles,"Complaint, Order, Penalty",Linda Eisgruber,2015-06-22,2015-10-14,Surface Water Discharge Permit,Municipal Minor,charles
,22178,Relax Inn WWTP,9340 Crain Hwy,"Bel Alton,MD,20611",Charles,Consent Order,COP-16-2331,2015-10-14,,Surface Water Discharge Permit,Municipal Minor,charles
,22934,"Charlotte Hall Center, Inc. WWTP",29940 Three Notch Rd,"Charlotte Hall,MD,20622",St. Mary's,Settlement Agreement,SA-15-2128,2014-08-13,2014-09-10,Groundwater Discharge Permit,Municipal Minor,st-marys
,22987,Stoney Creek Bridge Marina,430 Greenland Beach Rd,"Baltimore,MD,21226",Anne Arundel,Complaint & Penalty,AP-14-1984,2013-09-09,2014-09-17,Surface Water Discharge Permit,Industrial Minor,anne-arundel
,23210,"Universal Distribution Services, Inc",4000 Universal Trade Dr,"Dundalk,MD,21222",Baltimore,Settlement Agreement,Patrick Noyes,2015-12-15,2016-01-11,Surface Water Discharge Permit,Industrial Stormwater,baltimore
,23243,Forty West Municipal Landfill - See Master AI 147571,12630 Earth Care Rd,"Hagerstown,MD,21740",Washington,Penalty Settlement,PS-13-1773,2012-10-03,2012-11-13,Notice of Intent;Sediment,Notice of Intent (Construction),washington
,23448,Aberdeen Area Wastewater Treatment Plant,6375 Static St,"Aberdeen Proving Ground,MD,21005",Harford,Consent Order,CO-12-1566,2012-01-18,2015-10-20,Surface Water Discharge Permit,Municipal Major,harford
,23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,"Faulkner,MD,20664",Charles,Stipulated Penalty,CJ-13-1926,2021-07-19,,Surface Water Discharge Permit,Industrial Minor,charles
,23567,Rock Hall WWTP,north Main St. & Anderson Ave.,"Rock Hall,MD,21661",Kent,Penalty Settlement,"Bull, Kevin",2014-08-12,2014-09-12,Surface Water Discharge Unauthorized,Collection System (SSO),kent
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Stipulated Penalty,Julie Gowe,2014-07-22,2015-02-10,Surface Water Discharge Permit,Municipal Minor,cecil
,88,Piney Point - Sunoco LLC,17877 Piney Point Rd,"Piney Point,MD,20674",St. Mary's,Settlement Agreement,Eisgruber,2013-10-11,2014-09-05,Surface Water Discharge Permit,Industrial Minor,st-marys
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Offer to Settle,CO-19-2580,2021-04-26,2022-05-20,Groundwater Discharge Permit,Municipal Minor,harford
,641,"Daniel G. Schuster, LLC",3717 Crondall Lane,"Owings Mills,MD,21117",Baltimore,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,baltimore
,731,Southern MD Agricultural Association/Bowie Training Facility,8300 Race Track Road,"Bowie,MD,20715",Prince George's,Penalty Settlement,Arno Laud,2015-12-01,2015-12-01,Surface Water Discharge Unauthorized,Industrial Minor,prince-georges
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,"Complaint, Order, Penalty",Lenn Roberts,2019-12-16,2020-07-06,Surface Water Discharge Unauthorized,Industrial Major,allegany
,1916,City of Hagerstown WWTP/Pangborn Park Lake Silt Disposal Site,1 Clean Water Circle,"Hagerstown,MD,21740",Washington,Required Confirmation,Lenn Roberts,2020-04-28,2020-08-14,Surface Water Discharge Unauthorized,Collection System (SSO),washington
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,C-17-2453,2017-02-16,2017-04-17,Sediment,,anne-arundel
,3183,Ourisman Honda of Laurel,3371 Fort Meade Rd,"Laurel,MD,20724",Anne Arundel,Penalty Settlement,Joe Bieberich,2017-02-01,2017-03-07,Groundwater Discharge Permit,Industrial Minor,anne-arundel
,3306,"American Aquaculture Holdings, LLC",12041Cordova Road,"Cordova,MD,21625",Talbot,Penalty Settlement,Patrick Noyes,2019-04-30,2019-05-20,Groundwater Discharge Permit,Industrial Minor,talbot
,4019,Broadneck Water Reclamation Facility,1340 Log Inn Road,"Annapolis,MD,21409",Anne Arundel,Consent Order,CO-14-1964,2013-07-22,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel
,4232,Maryland City Water Reclamation Facility,462 Brock Bridge Road,"Laurel,MD,20724",Anne Arundel,Consent Order,CO-12-1582,2012-02-03,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel
,5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,Penalty Settlement,Patrick Noyes,2019-05-22,2019-06-20,Surface Water Discharge Unauthorized,Municipal Minor,prince-georges
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Consent Decree,Lenn Roberts,2016-04-15,,Surface Water Discharge Permit,Municipal Minor,montgomery
,5315,WSSC Seneca WRRF,12600 Great Seneca Hwy,"Germantown,MD,20874",Montgomery,Consent Order,CO-14-2047,2013-12-23,2017-01-17,Surface Water Discharge Permit,Municipal Major,montgomery
,6191,"Darling Ingredients, Inc. - Linkwood",5420 Linkwood Road,"Linkwood,MD,21835",Dorchester,Penalty Settlement,Patrick Noyes,2019-04-30,2019-05-16,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,dorchester
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2018-05-23,2018-06-11,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Major,wicomico
,9440,Holly Hills Country Club,5502 Mussetter Road,"Ijamsville,MD,21754",Frederick,Consent Order,COP-14-2085,2014-04-30,2016-04-08,Surface Water Discharge Permit,Industrial Minor,frederick
,9467,Charles County Municipal Landfill No. 2,12305 Billingsley Road,"Waldorf,MD,20602",Charles,Penalty Settlement,C-15-2251,2015-05-11,2015-07-01,Notice of Intent,Notice of Intent (Construction),charles
,10400,Patuxent Water Reclamation Facility,1640 Professional blvd,"Crofton,MD,21114",Anne Arundel,Stipulated Penalty,CO-12-1581,2013-09-17,2017-11-22,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),anne-arundel
,10610,West Nottingham Academy,1079 Firetower Road,"Colora,MD,21917",Cecil,Consent Order,CO-14-2092,2014-06-16,,Groundwater Discharge Permit,Municipal Minor,cecil
,18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Penalty Settlement,Patrick Noyes,2018-12-12,2019-01-08,Groundwater Discharge Permit,Municipal Minor,worcester
,18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Penalty Settlement,Patrick Noyes,2016-09-12,2016-10-12,Surface Water Discharge Unauthorized,Collection System (SSO),prince-georges
,18646,Campus Hills Shopping Center,2300-2400 Churchville Rd,"Churchville,MD,21015",Harford,Stipulated Penalty,SP-14-2101,2014-07-07,2014-08-07,Groundwater Discharge Permit,Municipal Minor,harford
,18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Penalty Settlement,Patrick Noyes,2017-05-09,2017-06-21,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,18838,Hebron WWTP,26126 Rewastico Rd,"Hebron,MD,21830",Wicomico,Default Judgement & Show Cause Order,AP-10-1045,2011-04-26,2011-04-26,Surface Water Discharge Permit,Municipal Minor,wicomico
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1457209,19716,Chesapeake Beach WWTP,8450 Bayside Rd,"Chesapeake Beach,MD,20732",Calvert,Stipulated Penalty,SP-23-2827,2022-12-05,2023-01-18,Surface Water Discharge Permit,Municipal Major,calvert
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Consent Order,CO-16-2394,2016-04-28,2019-11-06,Groundwater Discharge Permit,Municipal Minor,howard
,20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Settlement Agreement,SA-14-2070,2014-03-11,2014-04-09,Surface Water Discharge Permit,Municipal Major,cecil
,20087,Emmitsburg WWTP,16707 Creamery Road,"Emmitsburg,MD,21727",Frederick,Consent Order,CO-13-1853,2013-04-02,2016-03-07,Surface Water Discharge Permit,,frederick
,20178,Schuster Concrete -Monument Street Plant,3625 E Monument Street,"Baltimore,MD,21205",Baltimore City,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,baltimore-city
,20626,Northeast River Advanced WWTP,123 Carpenters Point Road,"Charlestown,MD,21914",Cecil,Consent Order,CO-13-1914,2013-05-01,2017-08-01,Surface Water Discharge Permit,Municipal Major,cecil
,21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Consent Order,CO-14-1983,2013-05-02,2022-05-10,Surface Water Discharge Permit,Municipal Minor,cecil
,21041,"Lawrence Street Industry, LLC",3310 Kenilworth Ave,"Hyattsville,MD,20781",Prince George's,Penalty Settlement,Patrick Noyes,2019-03-18,2019-06-06,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Stormwater,prince-georges
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,SAP-11-1230,2010-11-15,2010-11-15,Surface Water Discharge Permit,Municipal Minor,anne-arundel
